City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Riverton,US,1561649317,68.0,63,1,8.05,43.02,-108.38
Codrington,AU,1561649318,59.0,100,90,2.24,-28.95,153.24
Cartagena,ES,1561649318,91.4,61,0,17.22,37.63,-1.0
Kavieng,PG,1561649318,84.55,74,100,14.38,-2.57,150.8
Damghan,IR,1561649319,65.11,88,35,5.91,36.17,54.34
Waingapu,ID,1561649319,64.75,88,32,8.79,-9.65,120.26
Kutum,SD,1561649319,93.55,16,89,6.76,14.2,24.66
Bethel,US,1561649320,57.2,87,75,6.93,60.79,-161.76
Vila Velha,BR,1561649320,87.8,58,20,21.92,-3.71,-38.6
Basco,US,1561649321,84.0,78,1,5.82,40.33,-91.2
Bilma,NE,1561649321,105.43,9,10,4.43,18.69,12.92
Dikson,RU,1561649322,34.33,97,100,8.43,73.51,80.55
Severo-Yeniseyskiy,RU,1561649322,67.45,55,0,1.07,60.37,93.04
Ylojarvi,FI,1561649322,62.01,51,0,10.29,61.56,23.6
Sobolevo,RU,1561649323,68.71,84,4,19.48,54.43,31.9
Hirara,JP,1561649323,82.93,84,76,20.42,24.8,125.28
Ipu,BR,1561649323,82.75,52,99,12.01,-4.32,-40.71
Grand-Santi,GF,1561649324,84.37,63,100,4.99,4.27,-54.38
Saint Anthony,US,1561649324,66.0,45,1,10.29,43.97,-111.68
Beloha,MG,1561649324,70.51,77,49,14.56,-25.17,45.06
Port Hardy,CA,1561649170,51.8,93,90,4.7,50.7,-127.42
Anshun,CN,1561649325,67.99,97,100,3.22,26.25,105.93
Cap-aux-Meules,CA,1561649329,59.0,62,90,12.75,47.38,-61.86
Qasigiannguit,GL,1561649329,42.8,60,75,5.82,68.82,-51.19
Fare,PF,1561649330,79.51,73,22,7.7,-16.7,-151.02
Bay Roberts,CA,1561649330,66.0,51,40,6.93,47.58,-53.28
Kefalos,GR,1561649331,84.2,58,0,18.34,36.75,26.96
Chateaubelair,VC,1561649331,84.2,88,75,6.93,13.28,-61.25
Ust-Karsk,RU,1561649331,54.85,74,100,3.85,52.71,118.82
Sept-Iles,CA,1561649218,60.01,82,75,14.99,50.2,-66.38
Novikovo,RU,1561649109,72.85,81,100,15.7,51.15,37.89
Auki,NG,1561649332,92.65,36,0,2.1,12.18,6.51
Launceston,AU,1561649332,50.0,87,100,9.17,-41.43,147.14
Aransas Pass,US,1561649333,89.01,83,1,8.05,27.91,-97.15
Belaya Kholunitsa,RU,1561649336,63.13,70,18,3.89,58.84,50.85
Rognan,NO,1561649337,50.0,76,75,24.16,67.1,15.4
Henties Bay,NA,1561649337,59.0,81,0,1.99,-22.12,14.28
Aksarka,RU,1561649340,58.63,49,99,3.4,66.56,67.8
Sangmelima,CM,1561649343,78.61,84,63,3.09,2.93,11.98
Kaabong,UG,1561649344,71.41,81,56,3.49,3.51,34.14
Chicama,PE,1561649344,68.0,72,90,6.93,-7.84,-79.15
Faya,SA,1561649345,89.6,8,40,14.99,18.39,42.45
Marsa Matruh,EG,1561649345,82.4,74,20,12.75,31.35,27.25
High Prairie,CA,1561649234,57.19,81,0,5.3,55.43,-116.48
Tomatlan,MX,1561649352,84.37,69,99,4.81,19.93,-105.25
Mount Isa,AU,1561649352,55.4,66,95,4.7,-20.73,139.49
Santa Maria,BR,1561649353,80.6,36,20,9.17,-16.02,-48.01
Pangnirtung,CA,1561649356,48.2,57,5,12.75,66.15,-65.72
Oksovskiy,RU,1561649359,65.47,43,93,6.24,62.61,39.91
Corralillo,CU,1561649359,86.71,61,14,8.81,22.98,-80.59
Tall Kayf,TR,1561649360,109.4,8,20,11.41,37.08,41.07
Buala,SB,1561649360,80.23,82,100,6.96,-8.15,159.59
Narsaq,GL,1561649361,50.0,71,75,10.29,60.91,-46.05
Fairbanks,US,1561649361,60.01,62,40,4.7,64.84,-147.72
Martapura,ID,1561649361,78.43,83,0,13.11,-3.41,114.85
Belen,US,1561649362,78.01,38,1,5.82,34.66,-106.78
Maan,IN,1561649362,100.75,20,98,6.17,30.1,74.66
Itoman,JP,1561649365,80.6,94,75,10.29,26.12,127.67
Nayoro,JP,1561649369,50.53,97,100,4.36,44.36,142.46
Karatuzskoye,RU,1561649369,64.39,88,85,3.69,53.61,92.87
Severo-Kurilsk,RU,1561649369,40.27,95,100,10.2,50.68,156.12
Payakumbuh,ID,1561649372,68.53,98,27,3.49,-0.23,100.63
Polunochnoye,RU,1561649373,54.67,69,100,2.62,60.87,60.43
Ogawa,JP,1561649373,78.01,88,1,16.11,35.72,139.32
Bergama,TR,1561649373,97.0,36,0,20.8,39.12,27.18
Paciran,ID,1561649374,72.49,75,12,7.78,-6.9,112.33
Verkh-Usugli,RU,1561649374,49.45,96,67,4.54,52.7,115.17
Pontianak,ID,1561649376,84.01,79,100,16.98,-0.02,109.34
Phangnga,TH,1561649385,84.2,70,20,11.41,8.45,98.53
Kralendijk,BQ,1561649133,86.0,66,40,21.92,12.15,-68.27
Kajaani,FI,1561649385,59.0,62,75,11.41,64.22,27.73
Hualmay,PE,1561649389,63.31,82,99,9.13,-11.1,-77.61
Denpasar,ID,1561649389,77.0,73,20,10.29,-8.65,115.22
Uberlandia,BR,1561649389,80.6,32,20,8.05,-18.92,-48.28
Kyshtovka,RU,1561649389,53.23,80,100,6.38,56.56,76.62
Tamiahua,MX,1561649390,79.87,83,26,7.74,21.28,-97.45
Tecoanapa,MX,1561649390,86.0,74,75,0.83,16.99,-99.26
Saint-Francois,FR,1561649390,104.0,28,0,4.7,46.42,3.91
Sarakhs,TM,1561649394,105.8,12,0,6.93,36.54,61.16
Gornopravdinsk,RU,1561649394,53.77,58,97,4.7,60.06,69.92
Tighina,RO,1561649394,91.99,40,0,8.05,44.57,24.3
Bonavista,CA,1561649395,50.0,86,93,3.0,48.65,-53.11
Wahiawa,US,1561649395,78.8,100,20,5.82,21.5,-158.02
Abha,SA,1561649395,89.6,8,40,14.99,18.22,42.5
Ranong,TH,1561649395,84.2,83,20,5.82,9.96,98.62
Sao Filipe,CV,1561649396,75.01,82,0,26.22,14.9,-24.5
Matagami,NG,1561649396,78.61,78,92,1.43,9.67,8.4
Fuerte Olimpo,BR,1561649396,71.77,75,68,10.56,-21.04,-57.87
Caravelas,BR,1561649397,78.43,75,26,7.56,-17.73,-39.27
Rutana,BI,1561649400,73.57,66,70,2.33,-3.93,29.99
Kokoda,PG,1561649400,60.97,92,73,4.5,-8.88,147.74
Padang,ID,1561649400,84.73,69,97,6.02,-0.92,100.36
Bonthe,SL,1561649401,79.87,77,100,9.48,7.53,-12.5
Bereznik,RU,1561649404,66.19,38,60,7.14,62.86,42.71
Zyryanskoye,RU,1561649405,69.61,79,0,5.03,56.83,86.62
Faxinal,BR,1561649405,68.89,80,46,5.28,-24.0,-51.32
Ilhabela,BR,1561649405,74.47,83,0,5.75,-23.78,-45.36
Turan,RU,1561649405,53.05,90,6,3.85,52.15,93.92
Antalaha,MG,1561649267,66.55,91,36,3.91,-14.9,50.28
Merauke,ID,1561649225,78.79,82,59,23.64,-8.49,140.4
West Bay,CA,1561649406,57.99,87,90,8.05,49.34,-123.21
Matucana,PE,1561649407,59.71,39,0,6.82,-11.84,-76.39
Moche,PE,1561649407,68.0,72,90,6.93,-8.17,-79.01
Petropavlovsk-Kamchatskiy,RU,1561649410,44.6,100,75,4.47,53.05,158.65
Champasak,LA,1561649411,76.99,89,97,7.99,14.89,105.88
North Platte,US,1561649414,78.01,69,1,8.93,41.12,-100.77
Puerto Madryn,AR,1561649414,53.05,42,28,12.66,-42.77,-65.04
Finnsnes,NO,1561649414,48.2,66,75,13.87,69.23,17.98
Yatou,CM,1561649415,86.0,74,75,4.7,3.63,9.81
Praia da Vitoria,PT,1561649415,69.8,64,75,15.17,38.73,-27.07
Paracuru,BR,1561649416,87.8,58,20,21.92,-3.41,-39.03
Kysyl-Syr,RU,1561649416,63.85,58,23,3.8,63.9,122.77
Sitka,US,1561649416,81.0,69,0,15.01,37.17,-99.65
Payo,ID,1561649417,67.45,96,86,3.78,-3.75,103.64
Holme,DK,1561649417,71.6,53,0,12.75,56.11,10.17
Moose Factory,CA,1561649417,62.6,72,75,11.41,51.26,-80.61
Melilla,EC,1561649418,78.8,78,40,9.17,-0.8,-80.23
Mehamn,NO,1561649418,48.2,70,75,23.04,71.03,27.85
Ampanihy,MG,1561649418,69.07,81,30,10.83,-24.69,44.75
Raudeberg,NO,1561649418,55.4,71,40,11.41,61.99,5.14
Champerico,MX,1561649419,78.8,78,40,4.7,16.38,-93.6
Northam,AU,1561649419,51.8,81,75,8.05,-31.65,116.67
Jalu,LY,1561649419,97.51,20,0,12.35,29.03,21.55
Marabba,SD,1561649419,94.81,33,45,4.74,12.35,32.18
Vao,EE,1561649420,57.55,85,99,6.53,59.1,26.19
Rechitsy,RU,1561649420,59.0,87,75,15.66,55.6,38.46
Yulara,AU,1561649420,44.6,33,0,3.36,-25.24,130.99
Atar,MR,1561649420,111.73,8,0,14.12,20.52,-13.05
Kutulik,RU,1561649424,53.59,95,0,5.17,53.35,102.79
Alta Floresta,BR,1561649424,91.4,43,0,10.29,-9.87,-56.08
Porto Novo,BR,1561649425,73.4,69,75,5.75,-23.68,-45.44
Llallagua,BO,1561649425,43.51,18,0,3.83,-18.42,-66.59
Puerto Escondido,MX,1561649425,86.0,70,75,1.52,15.86,-97.07
Remontnoye,RU,1561649426,95.0,18,0,2.24,46.56,43.66
Eidsvoll,NO,1561649426,73.99,40,0,2.24,60.33,11.26
Krasnyy Kommunar,RU,1561649426,71.6,30,0,4.47,51.96,55.37
Taybad,IR,1561649427,85.09,11,0,12.24,34.74,60.78
Swan River,CA,1561649313,66.01,56,0,4.45,52.11,-101.27
Ajdabiya,LY,1561649427,76.99,85,0,21.81,30.75,20.22
San Ramon,NI,1561649428,69.8,83,75,18.34,12.92,-85.84
Galle,GN,1561649428,82.75,74,97,3.74,10.08,-12.83
Salinopolis,BR,1561649428,82.39,78,26,15.61,-0.61,-47.36
Beyneu,KZ,1561649428,88.87,14,0,18.54,45.32,55.19
Ketchikan,US,1561649429,62.6,82,1,5.82,55.34,-131.65
Vilhena,BR,1561649429,86.0,42,20,14.99,-12.74,-60.15
Moratuwa,LK,1561649429,84.2,79,75,10.29,6.77,79.88
Normandin,CA,1561649411,68.0,77,75,3.36,48.84,-72.53
San Juan,AR,1561649430,57.91,17,0,9.22,-31.54,-68.53
Letka,BA,1561649430,98.6,30,20,14.99,43.74,17.27
Conceicao do Castelo,BR,1561649430,79.33,49,23,4.07,-20.37,-41.24
Vendome,FR,1561649431,104.0,44,0,12.75,47.44,-0.57
Changli,CN,1561649431,70.33,76,100,18.23,30.54,105.42
Makakilo City,US,1561649431,78.8,83,75,6.93,21.35,-158.09
Saint-Denis,FR,1561649431,91.99,52,0,13.87,48.94,2.36
Abu Kamal,SY,1561649432,108.13,8,0,8.5,34.45,40.92
Tokat,TR,1561649432,72.0,56,20,18.34,40.33,36.55
Zambezi,ZM,1561649432,80.05,23,0,5.19,-13.55,23.12
Krasnoshchekovo,RU,1561649432,67.63,65,17,5.37,51.67,82.73
Oktyabrskoye,RU,1561649433,75.99,60,0,2.24,56.73,85.44
Fresno,US,1561648952,64.99,63,1,10.29,36.74,-119.78
Veraval,FR,1561649434,86.0,48,0,16.11,49.65,0.71
